DRIVER_TYPE,CLIENT_DRIVER_ID,ID,DRIVER NAME,SUB DRIVER NAME,DFC,DFF,DEC,DHN,DCR,DTP,DFV,DDN,DEG,DZA,DCL,TFA,OneDole,AP,Purchasing,Financial Services,TOTAL,Comentarios,Column1
CLIENT,C-004006004,Redhat,Redhat,,6.91E-05,0.734069142,0,0,0,0.119419931,0.141354761,0.005087028,0,0,0,0,0,0,0,0,0.999999962,,C-004006004
CLIENT,C-004007001,WindowsNA/LA,Windows,NA/LA,0.053072623,0.154407386,0.040050658,0.050933765,0.091997283,0.075275322,0.311290784,0.034204501,0.003871415,0.006601868,0.178269515,0,2.49E-05,0,0,0,1.00000002,,C-004007001
CLIENT,C-004007002,Windows AWS AWS,Windows AWS ,AWS,0.061334937,0.17558629,0,0,0,0,0.715574263,0.04750451,0,0,0,0,0,0,0,0,1,,C-004007002
CLIENT,C-004007003,Windows Azure Azure,Windows Azure, Azure,0.095127709,0.208003884,0.036529037,0.039679851,0.069147242,0.081788515,0.234552475,0.06072797,0.005062132,0.002840015,0.166541172,0,0,0,0,0,1.000000002,,C-004007003
CLIENT,C-004007004,Windows BLD BLD,Windows BLD ,BLD,0.018895887,0.054094109,0.150796591,0.170804002,0.180251945,0.029455354,0.220452019,0.01463505,0,0,0.160615043,0,0,0,0,0,1,,C-004007004
CLIENT,C-004007005,Windows BU Location BU LOCATION,Windows BU Location ,BU LOCATION,0,0.121495327,0.018691589,0.037383178,0.009345794,0,0.476635514,0,0,0.018691589,0.317757009,0,0,0,0,0,1,,C-004007005
CLIENT,C-004007006,Windows PhoenixDC PHX,Windows Phoenix,DC PHX,0.01621128,0.08698169,0.034157463,0.061792274,0.050179716,0.053518291,0.636592143,0.014880989,0.009208785,0.00598673,0.030490641,0,0,0,0,0,1.000000002,,C-004007006
CLIENT,C-004007007,Windows San Jose DC SJO,Windows San Jose ,DC SJO,0.010312033,0.05646403,0.09366547,0.108993702,0.344862296,0.192825633,0.084211013,0.005471464,0.002267718,0.001205221,0.09954534,0,0.000176081,0,0,0,1.000000001,,C-004007007
CLIENT,C-004008001,Hosting DC PHXConsumption,Hosting DC PHX,Consumption,0.057599933,0.33616252,0.022485614,0.022485614,0.022485614,0.022485614,0.470962486,0.024928251,0,0,0.020404356,0,0,0,0,0,1.000000002,,C-004008001
CLIENT,C-004009001,AzureShared Service,Azure,Shared Service,0.1281,0.3586,0.034,0.034,0.0383,0.0066,0.3387,0.0256,0.0041,0.0024,0.0296,0,0,0,0,,1,,C-004008001
CLIENT,C-005001001,FortiSIEMSIEM,FortiSIEM,SIEM,0.052173913,0.104347826,0.09826087,0.07826087,0.042608696,0.172173913,0.104347826,0.052173913,0.130434783,0.07826087,0.086956522,0,0,0,0,0,1.000000002,,C-005001001
